identifier_adminDB,title,name_author 1,name1_URI,name_author 2,name2_URI,name_author 3,name3_URI,name_author 4,name4_URI,name_author 5,name5_URI,dateIssued,extent,identifier_isbn,identifier_issn,publisher,notes,abstract,language,typeofResource,form,URI_form,subject_geographic,URI_geo,subject_topic_LCSH,URI_topic,subject_topic_LCSH2,URI_topic2,subject_topic_LCSH3,URI_topic3,subject_topic_LCSH4,URI_topic4,subject_topic_NAF,URI_NAF_topic,record_source,project_title,repository,repository_URI,rights,rights URI
0116_000050_000331,"The Childcare Handbook: Needs, Programs & Possibilities","Diamond, Franna",http://id.loc.gov/authorities/names/n82062139,"Simons, Janet",http://id.loc.gov/authorities/names/n89656041,"Blank, Helen",http://id.loc.gov/authorities/names/n86833543,,,,,1982,133,,,,,"This document explains the Comprehensive Child Development Act of 1971, which was vetoed by President Richard Nixon. Part I, ""Who Needs Child Care,"" documents a range of pressing social and economic forces and everyday personal crises that contribute to a growing majority of families' being likely to need child care services at some point to help them stay intact. Part II, ""Program Profiles,"" highlights several model child care programs such as the After School Day Care Association, Inc. in Madison, Wisconsin; the A.P. Beutel II Day Care Center in Freeport, TX; and the Child Care Resource and Referral, Inc. in Rochester, Minnesota. Part III draws further upon the accumulated experience of workshop participants to spell out what advocates can do in both immediate and the longer range to protect and expand existing local and national child care programs that are working.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child care,http://id.loc.gov/authorities/subjects/sh85023354,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,,,,,Comprehensive Child Development Program (U.S.),http://id.loc.gov/authorities/names/nr96044612,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000332,"State Developments in Child Care, Early Education, and School-Age Care 2000","Blank, Helen",http://id.loc.gov/authorities/names/n86833543,"Behr, Andreas",," Schulman, Karen",,,,,,2001,122,,,,,"This report provides highlights and updates regarding state actions on child care, early education, and school-age care issues during 2002. It is intended to serve as a supplement to State Developments in Child Care, Early Education, and School-Age Care 2001; State Developments in Child Care and Early Education 1999; State Child Care and Early Education Developments; Highlights and Updates for 1998; and State Developments in Child Care and Early Education 1997.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,School-age child care,http://id.loc.gov/authorities/subjects/sh87001693,Child care,http://id.loc.gov/authorities/subjects/sh85023354,,,,,Temporary Assistance for Needy Families (Program),http://id.loc.gov/authorities/names/n2002092561,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000333,State Developments in Child Care and Early Education,"Blank, Helen",http://id.loc.gov/authorities/names/n86833543," Adams, Gina",,,,,,,,1997,78,,,,,"This report includes information on the broad range child care and early education issues that states addressed in 1997, including State Decisions Regarding Child Care Funding, Child Care Assistance and ""Guarantees"" of Assistance, Changes in Child Care Subsidy Policies, Actions Related to Quality and Supply, Changes in Child Care Administration and Efforts to Create Unified Policies, Head Start and Prekindergarten Iniatives, and Other Ideas and Developments. This information was collected through phone interviews with experts in each state.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child care,http://id.loc.gov/authorities/subjects/sh85023354,Federal aid to day care centers,http://id.loc.gov/authorities/subjects/sh85047564,,,,,Temporary Assistance for Needy Families (Program),http://id.loc.gov/authorities/names/n2002092561,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000335,State Child Care and Early Education Developments: Highlights and Updates for 1998,"Blank, Helen",http://id.loc.gov/authorities/names/n86833543," Poersch, Nicole",,,,,,,,1999,60,,,Children's Defense Fund (U.S.),,This report is one of a series of reports by CDF concerning state policies and practices in child care and education. The report provides highlights and updates regarding state actions on child care and early education issues during 1998. The report is intended to serve as a supplement and companion to the more comprehensive information presented in State Developments in Child Care and Early Education 1997. The information in the report was collected through written surveys and phone interviews with advocates in each state. The final draft was reviewed for verification by advocates and state child care administrators in each state.,eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Federal aid to day care centers,http://id.loc.gov/authorities/subjects/sh85047564,Child care,http://id.loc.gov/authorities/subjects/sh85023354,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000336,The Health Insurance Crisis for America's Children,"Teitelbaum, Martha A.",,,,,,,,,,1994,30,,,Children's Defense Fund (U.S.),,"The information presented in this report documents research conducted over a decade demonstrating the poor state of America's maternal and child health. The report emphasizes that America's families desperately need health reform that covers all Americans, that guarantees affordable, universal coverage and access to care for pregnant women and children, and that provides comporehensive benefits clearly defined by law.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Medical care surveys,http://id.loc.gov/authorities/subjects/sh86006709,Child health insurance,http://id.loc.gov/authorities/subjects/sh2008005105,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000337,Special Report: Children and Health Insurance,"Rosenbaum, Sara",http://id.loc.gov/authorities/names/n86084486,"Hughes, Dana",http://id.loc.gov/authorities/names/n86121010,"Harris, Phyllis",http://id.loc.gov/authorities/names/n78069337,"Liu, Joseph",http://id.loc.gov/authorities/names/n92806096,,,1992,40,,,,,This report focuses on children who are not covered by employer based health coverage. Statistics from the 1977 and 1987 National Medical Care and Expenditure Survey (NMCES) were used to compile the report.,eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child health insurance,http://id.loc.gov/authorities/subjects/sh2008005105,Medically uninsured children,http://id.loc.gov/authorities/subjects/sh2004004966,,,,,National Medical Care Utilization and Expenditure Survey (U.S.),"http://id.loc.gov/authorities/names/n85240286","University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000338,The Impact of Federal Taxes on Poor Families,"Bourdette, Mary",http://id.loc.gov/authorities/names/n86856706,"Weill, Jim",http://id.loc.gov/authorities/names/n86856708,,,,,,,1985,47,,,Children's Defense Fund (U.S.),,"This paper explores tax fairness for low income families, shows how much the total tax burden on the poor has risen, how increasing taxes are driving more and more families into poverty, examines existing tax rules that most directly affect low-income families, takes a look at a variety of mechanisms for reducing taxes on low-income families, and reports on major tax reform proposals being discussed in Congress and the media.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Tax incidence,http://id.loc.gov/authorities/subjects/sh85132827,Taxation,http://id.loc.gov/authorities/subjects/sh85132846,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000339,An Opinion Maker's Guide to Children in Election Year 1992,Children's Defense Fund (U.S.),http://id.loc.gov/authorities/names/n80083301,,,,,,,,,1991,97,ISBN 938008900,,Children's Defense Fund (U.S.),,"This report highlights how the USA measures up in world rank in the areas of infant mortality, mortality for children under five years of age, low birthweight babies, proportion of one-year olds fully immunized, number of school-age children per teacher, math achievement of 8th grade students, expenditures on elementary and secondary eduction, teen pregnancy rates, and childhood poverty rates. The spending priorities made by Congress and what the priority agenda for 1992 should look like to ensure that children and families receive the support they need is closely studied.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Readiness for school,http://id.loc.gov/authorities/subjects/sh85111660,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000340,Key Facts about Child Care and Early Education: A Briefing Book,"Adams, Gina",," Poersch, Nicole",,,,,,,,1997,84,,,Children's Defense Fund (U.S.),,"This briefing book on child care and early education includes factsheets on a range of child care and early education issues. If includes basic facts about child care and early education, their importance to children, families, abd communities, some of the challenges facing families who need child care and early education, and information on key child care and early education policies and programs. A series of factsheets on the importance of good quality care, the importance of child care to help families work, the inadequacy of the supply of care, and a list of the various programs and policies that help families understand the roles played by federal, state, and local governments as well as private and public sectors. 50-state date, including maternal labor force participation, the number of regulated child care settings, the percent of schools offering extended day programs, selected child care licensing regulations, preschool participation rates of poor children, state rankings on financial commitment to child care and early education, the number of children participating in the Child and Adult Health Food Program (CACFP), and the number of children participating in Head Start are also included.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child care,http://id.loc.gov/authorities/subjects/sh85023354,Early childhood education,http://id.loc.gov/authorities/subjects/sh87007854,School-age child care,http://id.loc.gov/authorities/subjects/sh87001693,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000341,"Key Facts: Essential Information about Child Care, Early Education, and School-Age Care","Blank, Helen",http://id.loc.gov/authorities/names/n86833543,"Schulman, Karen",http://id.loc.gov/authorities/names/n94081127," Ewen, Danielle",,,,,,1999,192,,,Children's Defense Fund (U.S.),,"This briefing book includes a series of fact sheets concerning child care, early education, and school-age care, as well as information on major child care, early education, and school-age policies and programs. The fact sheets make a compelling case for investing in efforts to help children and families overcome the myriad child care, early education, and school-age challenges they face each day so they can get the quality early learning and after-school experiences they need to succeed.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child care,http://id.loc.gov/authorities/subjects/sh85023354,Early childhood education,http://id.loc.gov/authorities/subjects/sh87007854,School-age child care,http://id.loc.gov/authorities/subjects/sh87001693,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000342,Children and Federal Health Care Cuts: A National Survey of the Impact of Federal Health Budget Reductions on State Maternal and Child Health Services During 1982,"Rosenbaum, Sara",http://id.loc.gov/authorities/names/n86084486,"Weitz, Judith",http://id.loc.gov/authorities/names/n87139930,,,,,,,1983,38,,,,,"To determine whether the Reagan Administration's claim that Fiscal Year 1982 budget cuts would reduce only duplicative and wasteful services and not affect the truly needy, CDF initiated a national survey of changes in state maternal and child health services in 49 states (Nebraska did not respond to the Title V portion of CDF's survey) and the District of Columbia to assess the FY 1982 budget cuts' effects on children and families. The survey focused on Medicaid, the Title V Maternal and Child Health Block Grant, and the Community Health Centers Program because they represent the largest sources of federal health funds for mothers and children, are interdependent, and are the health care ""providers of last resort"" for the poor. The disturbing findings of this survey are included in this report.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Federal aid to maternal health services,http://id.loc.gov/authorities/subjects/sh85047578,Federal aid to child health services,http://id.loc.gov/authorities/subjects/sh85047558,Child health services,http://id.loc.gov/authorities/subjects/sh85023366,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000343,Children and Federal Child Care Cuts: A National Survey of the Impact of Federal Title XX Cuts on State Child Care Systems 1981-1983,"Blank, Helen",http://id.loc.gov/authorities/names/n86833543,,,,,,,,,1983,69,,,Children's Defense Fund (U.S.),,"CDF surveyed every state to gather information on each state's nature, quality, and extent of Title XX child care services for this report. Telephone interviews were conducted with state officials responsible for the child care programs funded under the Title XX Social Security Services Block Grant.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Federal aid to child welfare,http://id.loc.gov/authorities/subjects/sh85047559,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
0116_000050_000344,A Fragile Foundation: State Child Care Assistance Policies,"Schulman, Karen",http://id.loc.gov/authorities/names/n94081127,"Blank, Helen",http://id.loc.gov/authorities/names/n86833543," Ewen, Danielle",,,,,,2001,194,,,,,"This report is one of a series of reports by CDF concerning child care and early education. It examines state policies concerning important features of each state's child care assistance programs. Topics covered are who is able to receive assistance , how easy it is for them to access assistance, how much parents must contribute towards the cost of care, how much providers who serve children receiving assistance are reimbursed, how providers are paid, and how states administer their programs. Section topics are Income Eligibility Criteria, Availability and Accessibility of Assistance, Maintaining Eligibility, Parent Fees, Reimbursement Rates, Differential Rates, Payment Processes, Contracts and Certificates, Special Populations, and Comparison of 1995 and 2000 Policies.",eng,text,reports,http://vocab.getty.edu/aat/300027267,United States,http://id.loc.gov/authorities/names/n78095330,Child welfare,http://id.loc.gov/authorities/subjects/sh85023396 ,Child care,http://id.loc.gov/authorities/subjects/sh85023354,,,,,,,"University of Tennessee, Knoxville. Libraries",Children's Defense Fund,Langston Hughes Library (Children's Defense Fund Haley Farm),http://id.loc.gov/authorities/names/no2017113530.html,In Copyright - Non-Commercial Use Permitted,http://rightsstatements.org/vocab/InC-NC/1.0/
